epoch, reward, loss
708, -0.76, 1.4719
709, 0.39, 1.4694
710, 1.37, 1.4738
711, 1.70, 1.4685
712, 1.00, 1.4730
713, -0.65, 1.4757
714, -0.20, 1.4795
715, 0.14, 1.4759
716, -0.28, 1.4777
717, -1.46, 1.4849
718, 1.79, 1.4910
719, -0.76, 1.4815
720, -0.64, 1.4846
721, -1.50, 1.4944
722, 1.03, 1.4901
723, -0.66, 1.4715
724, -0.95, 1.4766
725, 0.35, 1.4936
726, 0.94, 1.4731
727, 0.89, 1.4929
728, 0.58, 1.4941
729, -0.44, 1.4984
730, -0.02, 1.4983
731, 1.51, 1.5086
732, -0.98, 1.5099
733, -0.28, 1.5120
734, -0.50, 1.4927
735, 0.21, 1.5064
736, 0.35, 1.4979
737, 0.19, 1.4998
738, 0.49, 1.4924
739, -0.12, 1.5084
740, -0.81, 1.5328
741, 0.91, 1.5188
742, 0.65, 1.5106
743, 1.18, 1.5123
744, 1.73, 1.5013
745, -0.23, 1.5439
746, 0.41, 1.5328
747, -0.78, 1.4980
748, -0.19, 1.5180
749, -0.56, 1.5259
750, -0.41, 1.5404
751, 1.13, 1.5316
752, 1.08, 1.5284
753, 1.42, 1.5235
754, -0.73, 1.5382
755, -0.07, 1.5140
756, 0.18, 1.5347
757, 0.68, 1.5240
758, -0.08, 1.5235
759, 0.68, 1.5412
760, 0.51, 1.5460
761, -1.03, 1.5298
762, 0.61, 1.5304
763, 0.69, 1.5347
764, -0.04, 1.5372
765, -0.06, 1.5304
766, -1.00, 1.5419
767, -0.40, 1.5340
768, 0.72, 1.5409
769, -0.98, 1.5410
770, -0.11, 1.5418
771, 1.08, 1.5512
772, -0.92, 1.5280
773, 0.17, 1.5401
774, 0.81, 1.5388
775, -1.08, 1.5534
776, 0.35, 1.5351
777, -1.12, 1.5530
778, -0.78, 1.5531
779, 0.53, 1.5490
780, 0.14, 1.5456
781, -0.06, 1.5490
782, -0.35, 1.5575
783, 0.55, 1.5594
784, 0.01, 1.5710
785, 0.27, 1.5483
786, 0.01, 1.5644
787, 1.50, 1.5516
788, -0.05, 1.5716
789, -0.37, 1.5435
790, -0.54, 1.5658
791, 1.65, 1.5584
792, 0.40, 1.5823
793, 1.04, 1.5615
794, 0.31, 1.5533
795, -0.63, 1.5626
796, 0.17, 1.5775
797, 0.42, 1.5580
798, 0.57, 1.5744
799, 0.79, 1.5689
800, 0.76, 1.5862
801, 0.23, 1.5673
802, -1.36, 1.5645
803, 1.53, 1.5611
804, 0.34, 1.5740
805, -0.95, 1.5806
806, -0.57, 1.5650
807, 2.04, 1.5821
808, 1.40, 1.5623
809, -0.32, 1.5742
810, -0.95, 1.5792
811, -0.13, 1.5803
812, -0.19, 1.5758
813, 0.62, 1.5827
814, 0.78, 1.6020
815, 1.27, 1.5780
816, -0.92, 1.5889
817, 1.51, 1.5965
818, 0.26, 1.5930
819, 1.35, 1.6006
820, 0.24, 1.5927
821, 0.31, 1.6034
822, 0.34, 1.5990
823, 1.76, 1.5880
824, -0.38, 1.5767
825, -0.14, 1.5825
826, 0.50, 1.5842
827, 0.83, 1.5821
828, -0.38, 1.6064
829, 0.83, 1.6063
830, 1.10, 1.5860
831, -0.45, 1.5858
832, 0.14, 1.5963
833, -0.56, 1.6027
834, 0.92, 1.6069
835, 0.12, 1.5964
836, 0.77, 1.6188
837, -1.23, 1.6084
838, 0.53, 1.6086
839, -1.27, 1.6263
840, 1.00, 1.6143
841, 0.64, 1.6150
842, 0.31, 1.6212
843, 0.40, 1.6241
844, 1.05, 1.6111
845, -1.22, 1.6301
846, -0.49, 1.6109
847, -0.84, 1.6313
848, 1.38, 1.6327
849, 0.17, 1.6398
850, 0.43, 1.6202
851, 0.32, 1.6344
852, 0.29, 1.6344
853, 1.23, 1.6226
854, 0.52, 1.6389
855, -0.05, 1.6253
856, 1.73, 1.6282
857, 0.08, 1.6349
858, -0.12, 1.6366
859, 0.75, 1.6462
860, 1.12, 1.6423
861, -0.40, 1.6268
862, 0.19, 1.6477
863, 0.14, 1.6476
864, 0.18, 1.6469
865, 0.17, 1.6353
866, 1.17, 1.6184
867, -0.72, 1.6358
868, 0.05, 1.6237
869, -0.17, 1.6293
870, 0.54, 1.6367
871, -0.36, 1.6178
872, 0.74, 1.6317
873, -0.35, 1.6253
874, 0.70, 1.6300
875, -0.45, 1.6450
876, 0.74, 1.6425
877, 0.34, 1.6568
878, -1.01, 1.6445
879, -0.73, 1.6492
880, 1.37, 1.6331
881, -0.88, 1.6401
882, 0.56, 1.6479
883, -1.72, 1.6624
884, -1.01, 1.6677
885, -0.69, 1.6445
886, 0.89, 1.6485
887, -0.17, 1.6446
888, 0.57, 1.6544
889, -0.44, 1.6418
890, -0.25, 1.6460
891, 0.73, 1.6541
892, 0.27, 1.6494
893, 0.78, 1.6554
894, -0.13, 1.6509
895, 0.98, 1.6569
896, -0.62, 1.6803
897, -0.43, 1.6471
898, 0.86, 1.6655
899, -0.51, 1.6631
900, -0.02, 1.6482
901, 0.82, 1.6570
902, -0.14, 1.6470
903, 1.14, 1.6660
904, 0.08, 1.6751
905, 0.70, 1.6563
906, -1.06, 1.6562
907, -1.02, 1.6528
908, -0.62, 1.6526
909, -0.25, 1.6518
910, 0.88, 1.6487
911, -0.01, 1.6682
912, 0.03, 1.6620
913, -0.13, 1.6532
914, 0.40, 1.6614
915, -0.01, 1.6525
916, 0.42, 1.6530
917, 1.30, 1.6482
918, 0.92, 1.6657
919, 0.40, 1.6544
920, 0.90, 1.6773
921, 0.45, 1.6556
922, -1.03, 1.6833
923, -0.06, 1.6639
924, 0.72, 1.6651
925, -0.17, 1.6826
926, 0.24, 1.6685
927, -1.07, 1.6955
928, 0.70, 1.6929
929, 0.44, 1.6585
930, -1.22, 1.6882
931, 1.57, 1.6799
932, -0.32, 1.6749
933, -0.43, 1.6757
934, 0.01, 1.6921
935, -0.25, 1.6824
936, -0.59, 1.6790
937, 0.95, 1.6657
938, 0.76, 1.6806
939, 0.71, 1.6792
940, 0.25, 1.6806
941, 0.12, 1.6691
942, 0.42, 1.6788
943, 2.03, 1.6737
944, 0.57, 1.6770
945, 1.31, 1.6843
946, 0.83, 1.6929
947, 1.27, 1.6832
948, 0.82, 1.6789
949, 1.16, 1.6847
950, -1.77, 1.6710
