epoch, reward, loss
572, 0.39, 9.9595
573, -0.24, 9.9924
574, -0.06, 10.0072
575, -2.06, 10.0190
576, 0.04, 10.0697
577, -0.12, 9.9646
578, -0.68, 10.0408
579, 1.56, 9.9839
580, -0.61, 10.0031
581, 1.57, 10.0257
582, -1.12, 9.9882
583, -1.78, 9.9940
584, -0.79, 9.9928
585, -1.39, 9.9604
586, -0.58, 9.9273
587, -0.93, 9.9317
588, -2.34, 9.9491
589, -1.07, 9.9169
590, -0.20, 9.9551
591, -0.70, 9.9570
592, -0.86, 10.0060
593, 0.48, 9.9534
594, -0.69, 9.9256
595, 0.75, 9.9427
596, -0.20, 9.9408
597, -1.11, 9.8834
598, 0.09, 9.8761
599, -1.32, 9.9437
600, -0.76, 9.8986
601, -1.21, 9.8981
602, -0.41, 9.8917
603, 0.13, 9.8809
604, -1.60, 9.8713
605, -0.74, 9.8320
606, 0.51, 9.9175
607, -0.47, 9.8576
608, -0.34, 9.9417
609, -0.44, 9.9399
610, -0.39, 9.8480
611, 0.01, 9.8176
612, 0.92, 9.8648
613, -0.06, 9.8707
614, 0.34, 9.8956
615, 0.65, 9.8469
616, -0.57, 9.8185
617, 0.83, 9.7860
618, -0.76, 9.9165
619, 0.18, 9.8507
620, 0.18, 9.8577
621, -0.16, 9.8815
622, -0.93, 9.8212
623, -0.82, 9.8271
624, 0.40, 9.8094
625, -0.51, 9.8386
626, -0.70, 9.8000
627, -1.10, 9.7596
628, -1.57, 9.7355
629, -0.21, 9.7150
630, -1.14, 9.7711
631, 0.87, 9.7100
632, 0.23, 9.7697
633, 0.27, 9.7691
634, -1.66, 9.7380
635, -0.70, 9.7394
636, -0.99, 9.7480
637, -0.88, 9.7224
638, 1.26, 9.7184
639, -0.01, 9.8034
640, -0.25, 9.7553
641, 0.42, 9.7562
642, -0.98, 9.7333
643, -0.86, 9.7510
644, -1.46, 9.7085
645, -0.68, 9.7057
646, -1.48, 9.7134
647, -0.21, 9.6567
648, -0.21, 9.7113
649, -0.28, 9.7126
650, 0.18, 9.7318
